taskId,sourceVehicleId,profileId,activationTimeNs,activationTimeMs,inputSizeBits,outputSizeBits,cpuCycles,deadlineSeconds
perception_light__veh_6__t_31000,veh_6,perception_light,31000000000,31000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_32000,veh_0,perception_light,32000000000,32000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_32000,veh_1,planning_medium,32000000000,32000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_2__t_32000,veh_2,cooperative_awareness,32000000000,32000,512000,16000,800000000,0.75
perception_light__veh_5__t_32000,veh_5,perception_light,32000000000,32000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_32000,veh_6,planning_medium,32000000000,32000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_33000,veh_4,perception_light,33000000000,33000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_6__t_33000,veh_6,cooperative_awareness,33000000000,33000,512000,16000,800000000,0.75
perception_light__veh_3__t_34000,veh_3,perception_light,34000000000,34000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_34000,veh_4,planning_medium,34000000000,34000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_35000,veh_2,perception_light,35000000000,35000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_35000,veh_7,perception_light,35000000000,35000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_36000,veh_1,perception_light,36000000000,36000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_36000,veh_2,planning_medium,36000000000,36000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_3__t_36000,veh_3,cooperative_awareness,36000000000,36000,512000,16000,800000000,0.75
perception_light__veh_6__t_36000,veh_6,perception_light,36000000000,36000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_36000,veh_7,planning_medium,36000000000,36000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_37000,veh_0,perception_light,37000000000,37000,8000000,64000,1500000000,0.5
perception_light__veh_5__t_37000,veh_5,perception_light,37000000000,37000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_7__t_37000,veh_7,cooperative_awareness,37000000000,37000,512000,16000,800000000,0.75
planning_medium__veh_0__t_38000,veh_0,planning_medium,38000000000,38000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_38000,veh_4,perception_light,38000000000,38000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_38000,veh_5,planning_medium,38000000000,38000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_0__t_39000,veh_0,cooperative_awareness,39000000000,39000,512000,16000,800000000,0.75
perception_light__veh_3__t_39000,veh_3,perception_light,39000000000,39000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_39000,veh_8,perception_light,39000000000,39000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_40000,veh_2,perception_light,40000000000,40000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_40000,veh_3,planning_medium,40000000000,40000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_4__t_40000,veh_4,cooperative_awareness,40000000000,40000,512000,16000,800000000,0.75
perception_light__veh_7__t_40000,veh_7,perception_light,40000000000,40000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_40000,veh_8,planning_medium,40000000000,40000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_41000,veh_1,perception_light,41000000000,41000,8000000,64000,1500000000,0.5
perception_light__veh_6__t_41000,veh_6,perception_light,41000000000,41000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_8__t_41000,veh_8,cooperative_awareness,41000000000,41000,512000,16000,800000000,0.75
perception_light__veh_0__t_42000,veh_0,perception_light,42000000000,42000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_42000,veh_1,planning_medium,42000000000,42000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_42000,veh_5,perception_light,42000000000,42000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_42000,veh_6,planning_medium,42000000000,42000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_1__t_43000,veh_1,cooperative_awareness,43000000000,43000,512000,16000,800000000,0.75
perception_light__veh_4__t_43000,veh_4,perception_light,43000000000,43000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_43000,veh_9,perception_light,43000000000,43000,8000000,64000,1500000000,0.5
perception_light__veh_3__t_44000,veh_3,perception_light,44000000000,44000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_44000,veh_4,planning_medium,44000000000,44000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_5__t_44000,veh_5,cooperative_awareness,44000000000,44000,512000,16000,800000000,0.75
perception_light__veh_8__t_44000,veh_8,perception_light,44000000000,44000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_44000,veh_9,planning_medium,44000000000,44000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_45000,veh_2,perception_light,45000000000,45000,8000000,64000,1500000000,0.5
perception_light__veh_7__t_45000,veh_7,perception_light,45000000000,45000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_9__t_45000,veh_9,cooperative_awareness,45000000000,45000,512000,16000,800000000,0.75
perception_light__veh_1__t_46000,veh_1,perception_light,46000000000,46000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_46000,veh_2,planning_medium,46000000000,46000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_46000,veh_6,perception_light,46000000000,46000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_46000,veh_7,planning_medium,46000000000,46000,2000000,32000,3000000000,1.0
perception_light__veh_0__t_47000,veh_0,perception_light,47000000000,47000,8000000,64000,1500000000,0.5
perception_light__veh_10__t_47000,veh_10,perception_light,47000000000,47000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_2__t_47000,veh_2,cooperative_awareness,47000000000,47000,512000,16000,800000000,0.75
perception_light__veh_5__t_47000,veh_5,perception_light,47000000000,47000,8000000,64000,1500000000,0.5
planning_medium__veh_0__t_48000,veh_0,planning_medium,48000000000,48000,2000000,32000,3000000000,1.0
planning_medium__veh_10__t_48000,veh_10,planning_medium,48000000000,48000,2000000,32000,3000000000,1.0
perception_light__veh_4__t_48000,veh_4,perception_light,48000000000,48000,8000000,64000,1500000000,0.5
planning_medium__veh_5__t_48000,veh_5,planning_medium,48000000000,48000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_6__t_48000,veh_6,cooperative_awareness,48000000000,48000,512000,16000,800000000,0.75
perception_light__veh_9__t_48000,veh_9,perception_light,48000000000,48000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_10__t_49000,veh_10,cooperative_awareness,49000000000,49000,512000,16000,800000000,0.75
perception_light__veh_3__t_49000,veh_3,perception_light,49000000000,49000,8000000,64000,1500000000,0.5
perception_light__veh_8__t_49000,veh_8,perception_light,49000000000,49000,8000000,64000,1500000000,0.5
perception_light__veh_2__t_50000,veh_2,perception_light,50000000000,50000,8000000,64000,1500000000,0.5
planning_medium__veh_3__t_50000,veh_3,planning_medium,50000000000,50000,2000000,32000,3000000000,1.0
perception_light__veh_7__t_50000,veh_7,perception_light,50000000000,50000,8000000,64000,1500000000,0.5
planning_medium__veh_8__t_50000,veh_8,planning_medium,50000000000,50000,2000000,32000,3000000000,1.0
perception_light__veh_1__t_51000,veh_1,perception_light,51000000000,51000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_51000,veh_11,perception_light,51000000000,51000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_3__t_51000,veh_3,cooperative_awareness,51000000000,51000,512000,16000,800000000,0.75
perception_light__veh_6__t_51000,veh_6,perception_light,51000000000,51000,8000000,64000,1500000000,0.5
perception_light__veh_0__t_52000,veh_0,perception_light,52000000000,52000,8000000,64000,1500000000,0.5
planning_medium__veh_1__t_52000,veh_1,planning_medium,52000000000,52000,2000000,32000,3000000000,1.0
perception_light__veh_10__t_52000,veh_10,perception_light,52000000000,52000,8000000,64000,1500000000,0.5
planning_medium__veh_11__t_52000,veh_11,planning_medium,52000000000,52000,2000000,32000,3000000000,1.0
perception_light__veh_5__t_52000,veh_5,perception_light,52000000000,52000,8000000,64000,1500000000,0.5
planning_medium__veh_6__t_52000,veh_6,planning_medium,52000000000,52000,2000000,32000,3000000000,1.0
cooperative_awareness__veh_7__t_52000,veh_7,cooperative_awareness,52000000000,52000,512000,16000,800000000,0.75
cooperative_awareness__veh_11__t_53000,veh_11,cooperative_awareness,53000000000,53000,512000,16000,800000000,0.75
perception_light__veh_4__t_53000,veh_4,perception_light,53000000000,53000,8000000,64000,1500000000,0.5
perception_light__veh_9__t_53000,veh_9,perception_light,53000000000,53000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_0__t_54000,veh_0,cooperative_awareness,54000000000,54000,512000,16000,800000000,0.75
perception_light__veh_3__t_54000,veh_3,perception_light,54000000000,54000,8000000,64000,1500000000,0.5
planning_medium__veh_4__t_54000,veh_4,planning_medium,54000000000,54000,2000000,32000,3000000000,1.0
perception_light__veh_8__t_54000,veh_8,perception_light,54000000000,54000,8000000,64000,1500000000,0.5
planning_medium__veh_9__t_54000,veh_9,planning_medium,54000000000,54000,2000000,32000,3000000000,1.0
perception_light__veh_2__t_55000,veh_2,perception_light,55000000000,55000,8000000,64000,1500000000,0.5
cooperative_awareness__veh_4__t_55000,veh_4,cooperative_awareness,55000000000,55000,512000,16000,800000000,0.75
perception_light__veh_7__t_55000,veh_7,perception_light,55000000000,55000,8000000,64000,1500000000,0.5
perception_light__veh_1__t_56000,veh_1,perception_light,56000000000,56000,8000000,64000,1500000000,0.5
perception_light__veh_11__t_56000,veh_11,perception_light,56000000000,56000,8000000,64000,1500000000,0.5
planning_medium__veh_2__t_56000,veh_2,planning_medium,56000000000,56000,2000000,32000,3000000000,1.0
perception_light__veh_6__t_56000,veh_6,perception_light,56000000000,56000,8000000,64000,1500000000,0.5
planning_medium__veh_7__t_56000,veh_7,planning_medium,56000000000,56000,2000000,32000,3000000000,1.0
